3.174372017879239713e-03,9.999999999999999547e-07,9.999999999999999547e-07
8.276773463181610543e-03,9.999999999999999547e-07,9.999999999999999547e-07
1.469724697803972274e-02,9.999999999999999547e-07,9.999999999999999547e-07
9.999999999999999547e-07,2.737606222526770949e-03,9.999999999999999547e-07
9.999999999999999547e-07,6.895810894595928199e-03,9.999999999999999547e-07
9.999999999999999547e-07,2.937491759990086895e-02,9.999999999999999547e-07
3.111509317839908558e-06,2.906893672786906298e-06,4.542862387546874742e-03
9.999999999999999547e-07,9.999999999999999547e-07,2.025451535961601216e-03
1.190098944224610086e-06,9.999999999999999547e-07,6.340746635536586434e-03
1.448054022482025729e-06,2.271440909975339442e-02,4.949242583237294796e-03
1.315292036999275097e-06,3.256636211616616844e-02,4.251891463913904518e-02
1.709331368596900472e-06,9.999999999999999547e-07,5.951016701810347628e-03
3.954740207623213752e-03,9.999999999999999547e-07,7.689506944487511236e-03
4.251140399895981387e-03,9.999999999999999547e-07,9.999999999999999547e-07
4.176039291578654764e-03,9.999999999999999547e-07,9.999999999999999547e-07
2.519104860747942848e-02,1.675623983664665390e-02,9.999999999999999547e-07
2.962330714133227811e-03,8.148305984394362683e-03,9.999999999999999547e-07
1.980627358483231376e-03,4.536569452459214037e-03,9.999999999999999547e-07
3.752356142315346667e-03,1.819813513989647358e-02,4.068486064367155333e-03
7.883707520193090207e-03,4.058409345308539376e-03,5.920557238858354873e-03
5.178015203569564015e-06,5.454468703389061049e-03,5.650204607910084068e-03
1.511450395354852597e-06,4.852947423217153500e-02,1.519294193648444962e-03
1.735199571552485451e-06,1.171914965214333054e-02,2.298858946281500185e-02
1.655397042219191456e-02,2.389808108822412229e-03,1.025292903338349132e-02
3.692415035181413011e-03,2.107303128862325972e-02,7.059178643940211204e-03
2.475537005322257702e-03,1.546471906318777449e-02,1.671551670649326291e-02
1.889665414782869301e-03,1.438125629193407959e-02,1.362544729572078873e-02
2.037062123231299371e-02,3.559680480309003036e-03,3.830308408715682456e-02
4.369638897255486397e-03,3.328426435846284638e-06,2.074279898237921249e-02
3.380936877386265822e-03,9.730455778027491875e-04,3.690524712321195666e-02
1.455501487258297616e-02,4.985620886888144591e-04,1.183765435361910923e-02
6.166178625032027379e-06,3.316101715850392970e-03,7.575153765648589936e-04
3.443653208164375139e-03,1.268337716753499891e-02,9.999999999999999547e-07
1.998414963745981897e-03,1.930009943269051518e-03,1.418160345275791025e-02
2.569542183089169440e-03,1.072471604914166342e-02,3.527687632098262891e-03
7.466184605565602712e-03,1.278883854321284838e-05,1.438571858380734321e-02
2.875368585756636446e-03,3.826591931651001974e-06,7.704656937503728126e-03
